#Data for H2O, E=0.001-100 keV
#                   [µ/rho]
#    E             Total
#   keV            cm2 g-1
1.366800E-02  8.469888E+05
1.387200E-02  8.285254E+05
1.396010E-02  8.207466E+05
1.492335E-02  7.447451E+05
1.595306E-02  6.769794E+05
1.705382E-02  6.164553E+05
1.823053E-02  5.622552E+05
1.948844E-02  5.135355E+05
2.083314E-02  4.695894E+05
2.227063E-02  4.297582E+05
2.322600E-02  4.069547E+05
2.358150E-02  3.986866E+05
2.367630E-02  3.964977E+05
2.380730E-02  4.058052E+05
2.381850E-02  4.055866E+05
2.417400E-02  3.987123E+05
2.545001E-02  3.749118E+05
2.720606E-02  3.470251E+05
2.908327E-02  3.213766E+05
3.109002E-02  2.973492E+05
3.323523E-02  2.746513E+05
3.552846E-02  2.531394E+05
3.797993E-02  2.326934E+05
4.060054E-02  2.132555E+05
4.340198E-02  1.948015E+05
4.639671E-02  1.773373E+05
4.959809E-02  1.608622E+05
5.302035E-02  1.453862E+05
5.667876E-02  1.309312E+05
6.058959E-02  1.175015E+05
6.477028E-02  1.050917E+05
6.923942E-02  9.368546E+04
7.401695E-02  8.327014E+04
7.912411E-02  7.379858E+04
8.458368E-02  6.523330E+04
9.041995E-02  5.752201E+04
9.665893E-02  5.061108E+04
1.033284E-01  4.443116E+04
1.104581E-01  3.892496E+04
1.180797E-01  3.403736E+04
1.262272E-01  2.971483E+04
1.349368E-01  2.583206E+04
1.442475E-01  2.215193E+04
1.542005E-01  1.897002E+04
1.648404E-01  1.622736E+04
1.762144E-01  1.386725E+04
1.883732E-01  1.184148E+04
2.013709E-01  1.010482E+04
2.152655E-01  8.618941E+03
2.301188E-01  7.348714E+03
2.459970E-01  6.264048E+03
2.629708E-01  5.338519E+03
2.811158E-01  4.549570E+03
3.005128E-01  3.877149E+03
3.212482E-01  3.304588E+03
3.434143E-01  2.816892E+03
3.671099E-01  2.401884E+03
3.924405E-01  2.048503E+03
4.195189E-01  1.747863E+03
4.484657E-01  1.490310E+03
4.794098E-01  1.260537E+03
5.124891E-01  1.065638E+03
5.213600E-01  1.020438E+03
5.293400E-01  9.821116E+02
5.314680E-01  9.721695E+02
5.346600E-01  1.794942E+04
5.426400E-01  1.738072E+04
5.478508E-01  1.702350E+04
5.856525E-01  1.472842E+04
6.260625E-01  1.267956E+04
6.692609E-01  1.083248E+04
7.154399E-01  9.206675E+03
7.648052E-01  7.798570E+03
8.175768E-01  6.593576E+03
8.739896E-01  5.570094E+03
9.342948E-01  4.690900E+03
9.987612E-01  3.939284E+03
1.067676E+00  3.287174E+03
1.141345E+00  2.741311E+03
1.220098E+00  2.284994E+03
1.304285E+00  1.903830E+03
1.394281E+00  1.585647E+03
1.490486E+00  1.320320E+03
1.593329E+00  1.098964E+03
1.703269E+00  9.146495E+02
1.820795E+00  7.610257E+02
1.946430E+00  6.331355E+02
2.080733E+00  5.267060E+02
2.224304E+00  4.358928E+02
2.377781E+00  3.598248E+02
2.541848E+00  2.970450E+02
2.717235E+00  2.452439E+02
2.904724E+00  2.025029E+02
3.105150E+00  1.663972E+02
3.319406E+00  1.361094E+02
3.548445E+00  1.113376E+02
3.793288E+00  9.110454E+01
4.055024E+00  7.455938E+01
4.334821E+00  6.103418E+01
4.633924E+00  4.997644E+01
4.953664E+00  4.093585E+01
5.295467E+00  3.354289E+01
5.660855E+00  2.749735E+01
6.051453E+00  2.255319E+01
6.469004E+00  1.850878E+01
6.915365E+00  1.519979E+01
7.392525E+00  1.249300E+01
7.902609E+00  1.027736E+01
8.447890E+00  8.464951E+00
9.030794E+00  6.971115E+00
9.653919E+00  5.721777E+00
1.032004E+01  4.696412E+00
1.103212E+01  3.855846E+00
1.179334E+01  3.174232E+00
1.260708E+01  2.621632E+00
1.347697E+01  2.173622E+00
1.440688E+01  1.810037E+00
1.540095E+01  1.514799E+00
1.646362E+01  1.275029E+00
1.759961E+01  1.080069E+00
1.881398E+01  9.214645E-01
2.011215E+01  7.922224E-01
2.149988E+01  6.868198E-01
2.298338E+01  6.007096E-01
2.456923E+01  5.302340E-01
2.626450E+01  4.724268E-01
2.807676E+01  4.241564E-01
3.001405E+01  3.842926E-01
3.208502E+01  3.514367E-01
3.429889E+01  3.242388E-01
3.666551E+01  3.015910E-01
3.919543E+01  2.826252E-01
4.189992E+01  2.665978E-01
4.479101E+01  2.529690E-01
4.788159E+01  2.412429E-01
5.118542E+01  2.310574E-01
5.471721E+01  2.221239E-01
5.849270E+01  2.141928E-01
6.252870E+01  2.070719E-01
6.684318E+01  2.005970E-01
7.145536E+01  1.946516E-01
7.638578E+01  1.891323E-01
8.165640E+01  1.839627E-01
8.729069E+01  1.790884E-01
9.331374E+01  1.744327E-01
9.975239E+01  1.699901E-01
